|,stateName,sexTraffickingCrimesReported,forcedLaborCrimesReported,totalCrimes,femalesLabor,malesLabor,otherLabor,laborTotal,femalesSex,malesSex,otherSex,sexTotal,color,population,malesTotal,femalesTotal
AK,ALASKA,9.47954585,1.35422084,10.83376668,2.70844167,0,0,2.708441671,9.47954585,0,0,9.479545849,#626263,"738,432",0,12.18798752
AL,ALABAMA,6.79155024,2.67545919,9.46700943,1.85224097,1.02902276,2.26385008,2.881263739,6.17413658,0.41160911,3.29287284,6.585745689,#626262,"4,858,979",1.44063187,8.02637755
AR,ARKANSAS,9.73741221,2.01463701,12.08782206,1.34309134,0.67154567,0,2.014637009,9.40163938,0.67154567,0,10.07318505,#626265,"2,978,204",1.34309134,10.74473072
AZ,ARIZONA,14.05962011,1.75745251,16.98870764,0.73227188,1.17163501,1.61099814,1.90390689,12.00925885,1.75745251,0.29290875,13.76671136,#626264,"6,828,065",2.92908752,12.74153073
CA,CALIFORNIA,19.95155527,2.75898588,25.00969605,2.01814708,0.99630046,0,3.014447532,18.62315467,0.79193113,0.28100782,19.4150858,#626266,"39,144,818",1.78823159,20.64130175
CO,COLORADO,8.7967285,4.03183389,14.11141863,1.83265177,2.19918212,0,4.031833894,8.06366779,0.73306071,0,8.796728497,#626267,"5,456,574",2.93224283,9.89631956
CT,CONNECTICUT,8.3544841,1.67089682,10.86082933,1.11393121,0.83544841,0,1.949379624,7.51903569,0,0.55696561,7.519035692,#626268,"3,590,886",0.83544841,8.6329669
DC,DC,1.7,6.8,8.5,5.1,0,0,0.847566073,3.4,0,0,0.565044049,#626311,"601,723",0,8.5
DE,DELAWARE,3.17146862,2.11431242,5.28578104,2.11431242,0,0,2.114312415,3.17146862,0,0,3.171468623,#626269,"945,934",0,5.28578104
FL,FLORIDA,14.89793043,3.35450089,20.07767445,1.82524313,1.97323582,0,3.798478951,13.91131252,0.44397806,0.14799269,14.35529058,#626270,"20,271,272",2.41721388,15.73655565
GA,GEORGIA,14.78238566,2.54531144,18.69824941,0.88106934,1.86003528,0,2.741104626,14.09710951,0.29368978,0,14.39079929,#626271,"10,214,860",2.15372506,14.97817885
HI,HAWAII,14.66887119,1.39703535,18.85997724,0,1.39703535,0,1.397035351,14.66887119,0,0,14.66887119,#626272,"1,431,603",1.39703535,14.66887119
IA,IOWA,8.32293234,0.96033835,11.52406016,0.64022556,0.64022556,0,1.280451129,7.36259399,0.96033835,0,8.322932336,#626276,"3,123,899",1.60056391,8.00281955
ID,IDAHO,3.62553099,0,3.62553099,0,0,0,0,3.02127582,1.20851033,0,4.229786154,#626273,"1,654,930",1.20851033,3.02127582
IL,ILLINOIS,7.15396857,1.9440132,9.4867844,0.93312633,0.93312633,0.15552106,1.86625267,6.53188434,0.23328158,0,6.765165927,#626274,"12,859,995",1.16640791,7.46501067
IN,INDIANA,4.83407053,1.96384115,8.00642931,1.05745293,0.90638822,1.51064704,1.963841152,4.68300583,0,2.41703526,4.683005825,#626275,"6,619,680",0.90638822,5.74045876
KS,KANSAS,10.64691698,2.06069361,14.7683042,0.68689787,1.0303468,0,1.717244674,9.61657017,0.68689787,0,10.30346804,#626277,"2,911,641",1.71724467,10.30346804
KY,KENTUCKY,10.1692801,2.03385602,14.23699213,1.12992001,1.12992001,0,2.259840021,9.26534409,0.67795201,0.451968,9.943296094,#626278,"4,425,092",1.80787202,10.3952641
LA,LOUISIANA,12.20367549,1.92689613,16.05746775,0.42819914,1.71279656,0,2.1409957,10.91907807,0.42819914,0.42819914,11.34727721,#626279,"4,670,724",2.1409957,11.34727721
MA,MASSACHUSETTS,7.50615726,0.58871822,9.12513235,0.44153866,0.29435911,0,0.73589777,6.62307993,0.73589777,0,7.358977703,#626282,"6,794,422",1.03025688,7.06461859
MD,MARYLAND,15.48348171,2.83031386,19.64570797,1.83137956,0.83244525,0,2.66382481,14.4845474,0.3329781,0,14.8175255,#626281,"6,006,401",1.16542335,16.31592696
ME,MAINE,5.26581852,1.50451958,7.52259788,1.50451958,0,0,1.504519577,4.51355873,0,0,4.51355873,#626280,"1,329,328",0,6.01807831
MI,MICHIGAN,12.29519431,1.81404506,15.31860275,0.90702253,1.00780281,0,1.914825344,10.78349009,0.60468169,0,11.38817178,#626283,"9,922,576",1.6124845,11.69051262
MN,MINNESOTA,4.91839652,1.45730267,6.55786202,0.91081417,0.72865134,0,1.639465505,4.55407085,0.36432567,0,4.918396515,#626284,"5,489,594",1.09297701,5.46488502
MO,MISSOURI,9.53371582,0.65749764,11.01308552,0.65749764,0.32874882,0,0.986246464,8.87621818,0.49312323,0,9.369341411,#626286,"6,083,672",0.82187205,9.53371582
MS,MISSISSIPPI,8.68887253,1.67093702,12.03074658,0.66837481,1.00256221,0,1.670937025,8.02049772,0.66837481,0,8.688872529,#626285,"2,992,333",1.67093702,8.68887253
MT,MONTANA,10.64912208,4.84051003,18.39393813,1.93620401,2.90430602,0,4.840510035,10.64912208,1.93620401,0,12.58532609,#626287,"1,032,949",4.84051003,12.58532609
NC,NORTH CAROLINA,7.76675673,2.19062369,10.95311846,1.09531185,1.29445945,0,2.389771301,6.97016629,0.39829522,0,7.368461511,#626294,"10,042,802",1.69275467,8.06547814
ND,NORTH DAKOTA,19.81697046,5.28452546,25.10149592,3.96339409,2.64226273,0,6.60565682,19.81697046,0,0,19.81697046,#626295,"756,927",2.64226273,23.78036455
NE,NEBRASKA,7.38322636,3.69161318,12.65695948,1.05474662,2.63686656,0,3.691613182,7.38322636,0,0,7.383226364,#626288,"1,896,190",2.63686656,8.43797298
NH,NEW HAMPSHIRE,6.01228912,2.25460842,9.01843368,1.50307228,1.50307228,0,3.006144559,5.26075298,1.50307228,0,6.763825259,#626290,"1,330,608",3.00614456,6.76382526
